asin,rating,review_title,review_text,review_date,year,sentiment,product_title,main_category,price
B01C9WA7IG,5.0,Came in fast and fits a Sear model 106-595-99993 fridge,Came in fast and fits a Sear model 106-595-99993 fridge,2016-11-09 20:08:28.000000000,2016,Positive,water filter,Tools & Home Improvement,
B07YHL8KC7,5.0,That it fits,It fits. A bit overpriced for what it is though.,2022-08-23 19:09:14.552999973,2022,Positive,"W10508950 Dishwasher Upper Rack Slide Rail Stop Clip Fit for Whirlpool Kenmore Dishwasher, for Parts W10199682 8562015 W10508950 2684662 AP6022472 PS11755805 (2 Pcs)",Tools & Home Improvement,$8.98
B004FO8JZ0,5.0,Exact replacement for the lower heating element for my GE oven,The lower heating element in my GE oven broke & I purchased his as a replacement.  It's an exact replacement & was extremely easy to switch out the broken one with this new one.  It works perfectly.,2016-12-30 14:51:50.000000000,2016,Positive,ERP WB44T10010 Bake Element,Appliances,$25.05
B07RVKVDQN,5.0,Easy fix!,Matched mine and fit perfect with a very easy install. Saved me $700 not having to replace the refrigerator. If yours stopped working and you pull off the starter relay and rattles when shaking it then this most likely will fix it.,2020-07-02 17:42:45.861000061,2020,Positive,Refrigerator Compressor Start Relay Overload Capacitor fits Whirlpool W10613606,Tools & Home Improvement,$11.98
B014J4BCP4,4.0,Thought it was rubber pads but its pretty hard shelled,"Thought it was rubber pads but its pretty hard shelled...good for the price. My bad, should took more time before purchase.",2016-06-08 21:12:44.000000000,2016,Positive,"Snorain NTECeaq Samsung Galaxy Note 9 (2-Pack) Tempered Glass Screen Protector [Force Resistant up to 11 Pounds] [Full Screen Coverage] [Case Friendly] for Samsung Note 9, Beige",Cell Phones & Accessories,
B076FR79XZ,5.0,water filters,They worked Great,2020-10-20 11:53:49.506000042,2020,Positive,"EXCELPURE 4396701 Replacement for Kenmore 9915, Whirlpool EDR6D1, Every Drop FILTER 6, 46-9915, 4396702, RWF2000A, SGF-W10, LC200V,WF293,EFF-6001A, 2301706, RWF1021, Refrigerator Water Filter, 2PACK",Tools & Home Improvement,$16.99
B0BW93D1XL,2.0,Only one of them worked,One went in an worked and the other didn't.,2023-03-09 20:55:42.151999950,2023,Negative,EPPWFU01 PureAdvantage PWF-1 Compatible Replacement FPPWFU01 PurePour PWF-1 2pacs,Amazon Home,
B07JYZVRTF,5.0,Exactly what I needed,"When my dishwasher wouldn't power on, I did an internet search for brand + power. The majority of videos that rose to the tops of the lists were about replacing the fuse.  While the inside of my dishwasher door didn't match up perfectly to any of the how-to videos I had watched, I was able to replace the faulty part successfully.  I had to borrow a wire-stripping tool from a neighbor, but otherwise it was a simple fix.  It was harder to put the door back on the machine, than to replace the fuse.  Thankful a $9 part did the trick and I didn't have to replace the whole unit!",2019-12-13 20:52:20.401000023,2019,Positive,MAYITOP W10402110 Dishwasher Fuse for Whirlpool Kenmore Kitchen Aid W10258275 AP4423189 PS2360984,Tools & Home Improvement,$9.49
B000KKMEDQ,1.0,Disappointed,A little disappointed in the piece. I expected a heavy duty dryer vent but it was very thin material and not good quality. I went to the big box store and bought a better one and tossed this one in the recycle bin...,2016-01-05 12:53:58.000000000,2016,Negative,Hood Vent Dryer Plastic 4in White,Tools & Home Improvement,$14.99
B08W4YQK2C,5.0,Awesome,Easy to install works just as good as a full-size washer,2022-04-02 03:28:29.552999973,2022,Positive,"Helohome Portable Washing Machine, Full-Automatic Compact Washer with Wheels, 1.6 cu. ft, 11 lbs capacity with 6 Wash Programs Washer, Spin dry with Drain Pump, For Apartment, Dorm, RV, Camping.",Appliances,
B005ARCBGY,5.0,Whirlpool Ice Maker,Excellent plug and play unit.  Took all of 5 minutes to take out the old one and replace with the new unit.  Making ice within the first hour.,2013-08-14 18:20:45.000000000,2013,Positive,Whirlpool W10190965 Icemaker for Refrigerator,Appliances,
B01MQ01N25,5.0,"Great price, great part",This is a direct OEM replacement. No modifications needed to be done,2020-08-10 23:15:53.634999990,2020,Positive,"LG AJU73292414 LG-AJU73292414 Valve Assembly,Water, Blue",Tools & Home Improvement,$35.79
B00WVTXVMC,2.0,Does not include the pole!,"Haven't used it yet, but upon receipt I now realize that the pictures are very misleading. It does not come with the pole which is pictured.  Frustrating, and should be made more clear.  It's only made more confusing, given that others have said that the pole came with theirs.",2015-09-30 21:55:21.000000000,2015,Negative,"Breathing Mobile Washer Handheld, Portable, Non-Electric, Mobile, Clothes Washing Machine",Amazon Home,$49.99
B00BSXFCOC,2.0,"It makes great ice, but I have it in a great ...","It makes great ice, but I have it in a great room and I can barely hear the TV over it.  I had a U-line that I have paid for twice with repairs in past 5 years, but at least you didn't even know it was running except when the tray was filling with water.  I called Hoshizaki tech support and they said it is the machine constantly shaving the ice and pushing it up with the auger that makes so much noise.",2016-10-03 22:32:11.000000000,2016,Negative,"C-80BAJ-AD 15"" Energy Star Rated Undercounter Self-Contained Cubelet Ice Maker With 92 lbs. Daily Ice Production 20 lbs. Built-In Storage Capacity Reversible Door and Front Access: Stainless Steel",Industrial & Scientific,$3995.00
B079YBT2LJ,4.0,Good coffee.,Have had it for about a year. It was much easier to push!  Great coffee and easy to clean! However the small silicone(?) valve fell out. Wish you would offer part replacement for that.,2021-11-26 11:14:19.595000029,2021,Positive,"Fellow Prismo Attachment for AeroPress Coffee Maker - Enhance Your Manual Coffee Maker to Brew Espresso-Style and No-Drip Immersion Coffees, Reusable Metal Filter",Amazon Home,$25.00
B01E9DSA0A,1.0,Not worth it!,Broke after 1 day. Garbage!!,2023-03-02 23:24:03.851000071,2023,Negative,SoloClip 2 - Compatible with Keurig Original & 2.0 Brewing Systems and Plus Models - No Sticker Needed,Amazon Home,
B002ZNNJPI,5.0,Works great!,"Bought it.  Put it in my Whirlpool Cabrio HE to replace a broken pump, and it works gangbusters.  Cost a LOT LESS than local parts stores, too.<br /><br />The only odd thing was the heat shield.  I had to fiddle with it for about 20 minutes before I figured out how it fit in.",2014-09-11 23:48:51.000000000,2014,Positive,Whirlpool Kenmore Washer Pump W10217134 W10536347 NEW Replaces W10049390,Appliances,
B00NSELL2Q,5.0,Five Stars,Did great.,2016-03-03 12:56:28.000000000,2016,Positive,Frigidaire 131763202 Washer Door Lock Assembly,Tools & Home Improvement,
B075J8P21L,1.0,Don’t. Just don’t,These bearings may be fine in other applications. But trust me I install bearings in anything from aircraft wheels to mower spindles.  Even with proper tools and experience these won’t last in your washing machine. If you really want to fix it order the rear tub assembly and a new spider.,2020-01-18 01:53:29.819999933,2020,Negative,"XiKe 4036ER2004A, 4036ER4001B, 4280FR4048E and 4280FR4048L Front Load Washer Tub Bearing ＆ Seal Kit Rotate Quiet and Durable, Replacement for LG and Kenmore Etc.",Appliances,$29.99
B01926FQZ6,5.0,Five Stars,"I got it for a friend, she had no complaints.",2016-09-01 16:51:29.000000000,2016,Positive,"Home Revolution Replacement Lint Filter, Fits LG Dryer 5231EL1003B, DLE2512W, DLE2514W, DLE2515S, DLE2516W and Part 5231EL1003B",Tools & Home Improvement,
B004H3XR9M,5.0,Five Stars,"I liked that it was exactly what I needed, and came in a reasonable amount of time....",2018-02-03 20:56:48.107000113,2018,Positive,GE WB44K10005 Bake Element for Stove,Tools & Home Improvement,$39.02
B00XYVE4B8,3.0,Good for small apartments,"I was NOT given this product for free or at a discount in exchange for an honest review.<br /><br />Now that that's out of the way, I can tell you about my first experience with this washer. I live in a small apartment and the nearest laundromat is too inconvenient for me to walk to. My car is always on the fritz and there are no laundry departments in my building. So I decided to look into a portable washer. I found this one that holds up to about 9lbs of clothes for under $70 on Amazon. Pretty good bargain. It arrived yesterday and it is much bigger than I thought it would be but very light. When I took it out of the packaging, I noticed a red ink mark on the lid and some black ink smeared on the safety disc thing for the spin cycle. Wasn't sure if that came from manufacturing or not. I washed off the red ink but the black wouldn't come off. The way my kitchen is designed made it difficult for me to sit this on my counter so I sat it on a chair in the bathroom where I could easily fill it with a few buckets of water and drain straight into the toilet. The sink hook up does fit my kitchen sink so if I had the space, I could've hooked it up there with no problem. I filled the machine to the medium marker, added detergent, then clothes  and filled with more water as necessary. The drain hose seemed like it was gonna spill out so I stuck my finger in it to prevent spilling since i didn't have anything small enough to fit the hole and left it the duration of the wash and the rinse. It drains very quickly which is good. I didn't use the spin cycle because I have a Nina Soft Spin Dryer by Laundry Alternative which is amazing for those who don't know. You can find those on Amazon as well. So I can't review the spin cycle. Overall I'm happy with the product. Makes my laundry days much easier. I only gave it 3 stars since I couldn't comment at all on the spin cycle. I would recommend to a friend though.",2016-06-10 16:38:07.000000000,2016,Neutral,ARKSEN Portable Mini Washing Machine 8-9LBS Dorm Camping RV Compact Laundry Washer,Appliances,
